pattern,source_r,source_g,source_b,source_hex,pixel_count,flank_weight,markings_weight
pattern_1,0,0,255,#0000FF,163453,0.99844916,0.00155084
pattern_1,0,1,255,#0001FF,127104,0.99846451,0.00153549
pattern_1,0,2,255,#0002FF,384,0.99847987,0.00152013
pattern_1,0,4,255,#0004FF,6709,0.99851058,0.00148942
pattern_1,0,8,255,#0008FF,211,0.998572,0.001428
pattern_1,0,12,247,#000CF7,1,0.99986181,0.00013819
pattern_1,0,12,255,#000CFF,341,0.99863342,0.00136658
pattern_1,0,16,255,#0010FF,375,0.99869484,0.00130516
pattern_1,0,20,255,#0014FF,231,0.99875626,0.00124374
pattern_1,0,24,255,#0018FF,231,0.99881768,0.00118232
pattern_1,0,26,255,#001AFF,7,0.99884839,0.00115161
pattern_1,0,28,255,#001CFF,213,0.9988791,0.0011209
pattern_1,0,32,255,#0020FF,183,0.99894052,0.00105948
pattern_1,0,36,255,#0024FF,111,0.99900193,0.00099807
pattern_1,0,37,255,#0025FF,1,0.99901729,0.00098271
pattern_1,0,38,255,#0026FF,31,0.99903264,0.00096736
pattern_1,0,39,255,#0027FF,1,0.999048,0.000952
pattern_1,0,40,255,#0028FF,193,0.99906335,0.00093665
pattern_1,0,42,255,#002AFF,26,0.99909406,0.00090594
pattern_1,0,43,255,#002BFF,3,0.99910942,0.00089058
pattern_1,0,44,255,#002CFF,172,0.99912477,0.00087523
pattern_1,0,46,255,#002EFF,1,0.99915548,0.00084452
pattern_1,0,47,255,#002FFF,6,0.99917084,0.00082916
pattern_1,0,48,255,#0030FF,55,0.99918619,0.00081381
pattern_1,0,50,255,#0032FF,4,0.9992169,0.0007831
pattern_1,0,51,252,#0033FC,1,0.9996929,0.0003071
pattern_1,0,51,255,#0033FF,3,0.99923226,0.00076774
pattern_1,0,52,255,#0034FF,132,0.99924761,0.00075239
pattern_1,0,54,252,#0036FC,1,0.99973897,0.00026103
pattern_1,0,54,255,#0036FF,2,0.99927832,0.00072168
pattern_1,0,55,252,#0037FC,11,0.99975432,0.00024568
pattern_1,0,55,255,#0037FF,1,0.99929368,0.00070632
pattern_1,0,56,252,#0038FC,8,0.99976968,0.00023032
pattern_1,0,56,255,#0038FF,83,0.99930903,0.00069097
pattern_1,0,58,252,#003AFC,5,0.99980039,0.00019961
pattern_1,0,58,255,#003AFF,47,0.99933974,0.00066026
pattern_1,0,59,252,#003BFC,19,0.99981574,0.00018426
pattern_1,0,60,252,#003CFC,10,0.9998311,0.0001689
pattern_1,0,60,255,#003CFF,79,0.99937045,0.00062955
pattern_1,0,62,252,#003EFC,2,0.99986181,0.00013819
pattern_1,0,62,255,#003EFF,3,0.99940116,0.00059884
pattern_1,0,63,252,#003FFC,22,0.99987716,0.00012284
pattern_1,0,64,255,#0040FF,7,0.99943187,0.00056813
pattern_1,0,65,252,#0041FC,21,0.99990787,9.213e-05
pattern_1,0,65,255,#0041FF,29,0.99944723,0.00055277
pattern_1,0,66,252,#0042FC,4,0.99992323,7.677e-05
pattern_1,0,67,252,#0043FC,4,0.99993858,6.142e-05
pattern_1,0,68,255,#0044FF,16,0.99949329,0.00050671
pattern_1,0,69,252,#0045FC,44,0.99996929,3.071e-05
